frame,track_id,direction,position,count_in,count_out
265,11,OUT,"[253.98272705078125, 538.0671997070312]",0,1
295,41,IN,"[569.3028564453125, 540.1926879882812]",1,1
297,21,OUT,"[418.4911193847656, 539.792724609375]",1,2
303,8,IN,"[489.2802734375, 542.1790771484375]",2,2
329,27,IN,"[931.67724609375, 541.0013427734375]",3,2
331,16,IN,"[882.5262451171875, 540.351318359375]",4,2
374,71,IN,"[1105.9097900390625, 540.9482421875]",5,2
741,102,IN,"[332.96630859375, 541.7237548828125]",6,2
901,140,OUT,"[1004.601806640625, 538.039306640625]",6,3
905,141,OUT,"[904.5211791992188, 539.7010498046875]",6,4
979,144,IN,"[423.85107421875, 540.057373046875]",7,4
980,123,IN,"[353.9507751464844, 540.9335327148438]",8,4
