frame,track_id,direction,position,count_in,count_out
70,1,OUT,"[811.6637573242188, 565.612060546875]",0,1
171,3,IN,"[783.0675659179688, 614.9579467773438]",1,1
185,49,OUT,"[806.5487060546875, 574.4306640625]",1,2
198,7,IN,"[799.318115234375, 537.7526245117188]",2,2
204,54,OUT,"[940.1937255859375, 640.7225952148438]",2,3
213,89,OUT,"[801.8714599609375, 572.430908203125]",2,4
222,31,OUT,"[807.1048583984375, 568.6656494140625]",2,5
235,72,OUT,"[813.092529296875, 569.63623046875]",2,6
246,81,OUT,"[805.1710205078125, 610.9029541015625]",2,7
256,92,OUT,"[801.93359375, 588.0997314453125]",2,8
407,159,OUT,"[804.31396484375, 573.506103515625]",2,9
423,143,IN,"[798.077392578125, 587.8221435546875]",3,9
516,210,OUT,"[802.2623901367188, 570.0894165039062]",3,10
521,223,OUT,"[802.2772216796875, 577.5262451171875]",3,11
